Date,No,Referee,Official_1,Official_2,TeamA,TeamB,Score_quarters_1,Score_quarters_2,Score_quarters_3,Score_quarters_4,Woman,GameId
"2011-02-26",1,"王俊憲","陳宏名","侯宏佳","南湖高中","北一女中","13:12","9:16","20:24","54:73",true,1866
"2011-11-16",2,"于容","叢秀卉","黃朝陽","滬江高中","陽明高中","12:5","24:4","10:15","59:42",false,1867
"2011-11-16",3,"龐雲漢","洪永昱","何孟家","治平高中","苗栗高商","20:9","27:16","11:13","67:50",false,1868
"2011-11-16",4,"洪永昱","戴睿慷","叢秀卉","淡水商工","普門高中","17:14","15:9","12:9","58:44",true,1869
"2011-11-16",5,"張呂岳","簡俊彥","游智勛","安樂高中","永仁高中","8:15","3:23","10:22","38:76",false,1870
"2011-11-16",6,"伍銳威","莊智鈞","林欣蓉","金甌女中","小港高中","16:14","18:20","18:19","78:83",true,1871
"2011-11-17",1,"賴建忠","黃純芬","莊智鈞","苗栗高商","滬江高中","19:21","18:13","10:21","62:77",false,1872
"2011-11-17",2,"王聲葦","黃朝陽","蘇宇燕","南湖高中","治平高中","15:9","16:15","11:12","54:49",false,1873
"2011-11-17",3,"洪永昱","羅仁理","林欣蓉","北一女中","陽明高中","20:12","16:12","25:20","77:60",true,1874
"2011-11-17",4,"黃奕齊","簡俊彥","戴睿慷","普門高中","小港高中","22:13","16:12","31:2","89:45",false,1875
"2011-11-17",5,"吳建五","陳尚群","林致瑩","淡水商工","安樂高中","15:12","18:4","16:17","68:47",true,1876
"2011-11-17",6,"于容","叢秀卉","黃振峰","永仁高中","金甌女中","15:16","14:13","17:17","64:70",true,1877
"2011-11-18",1,"陳尚群","何孟家","戴睿慷","陽明高中","南湖高中","11:3","13:12","11:14","50:42",false,1878
"2011-11-18",2,"伍銳威","洪永昱","黃朝陽","苗栗高商","北一女中","13:22","7:20","19:20","54:78",true,1879
"2011-11-18",3,"龐雲漢","黃振峰","游智勛","滬江高中","治平高中","23:15","12:13","14:10","64:40",false,1880
"2011-11-18",4,"張呂岳","林建宏","林致瑩","永仁高中","普門高中","9:17","13:18","17:26","56:71",false,1881
"2011-11-18",5,"王俊憲","莊智鈞","蘇宇燕","小港高中","淡水商工","15:21","14:17","10:19","59:77",true,1882
"2011-11-18",6,"吳良民","侯宏佳","黃貞瑜","金甌女中","安樂高中","13:10","16:18","19:20","67:62",true,1883
"2011-11-19",1,"薄鵬飛","劉均緯","藍偉雄","北一女中","滬江高中","13:21","11:10","24:11","65:58",true,1884
"2011-11-19",2,"羅仁理","游智勛","蘇宇燕","南湖高中","苗栗高商","15:11","16:7","14:16","57:46",false,1885
"2011-11-19",3,"何長仁","黃貞瑜","李皇慶","治平高中","陽明高中","12:7","17:17","15:13","62:48",false,1886
